Date_________JDUT     R.A._(J2000.0)_DEC.            delta      deldot
**********************************************************************
$$SOE
2457454.500000000      26.87690  11.84121 1.48914512288904   0.7525192
2457455.500000000      27.80928  12.17940 1.48957529863165   0.7369277
2457456.500000000      28.74398  12.51445 1.48999627289795   0.7206675
2457457.500000000      29.68103  12.84625 1.49040768338982   0.7038324
2457458.500000000      30.62049  13.17471 1.49080923973041   0.6865753
2457459.500000000      31.56237  13.49972 1.49120075221358   0.6690870
2457460.500000000      32.50671  13.82119 1.49158214471171   0.6515647
2457461.500000000      33.45353  14.13902 1.49195344984496   0.6341839
2457462.500000000      34.40286  14.45311 1.49231479079923   0.6170810
2457463.500000000      35.35474  14.76335 1.49266635711059   0.6003495
2457464.500000000      36.30917  15.06966 1.49300838081274   0.5840443
2457465.500000000      37.26620  15.37193 1.49334111650218   0.5681901
2457466.500000000      38.22584  15.67008 1.49366482619106   0.5527890
2457467.500000000      39.18812  15.96399 1.49397976824452   0.5378271
2457468.500000000      40.15307  16.25359 1.49428618920559   0.5232779
2457469.500000000      41.12070  16.53878 1.49458431747396   0.5091054
2457470.500000000      42.09105  16.81946 1.49487435821470   0.4952654
2457471.500000000      43.06413  17.09555 1.49515648925716   0.4817077
2457472.500000000      44.03995  17.36695 1.49543085796463   0.4683775
2457473.500000000      45.01854  17.63357 1.49569757907903   0.4552167
2457474.500000000      45.99990  17.89534 1.49595673341221   0.4421661
2457475.500000000      46.98405  18.15215 1.49620836705092   0.4291647
2457476.500000000      47.97099  18.40392 1.49645249055900   0.4161502
2457477.500000000      48.96072  18.65057 1.49668907757699   0.4030569
2457478.500000000      49.95325  18.89200 1.49691806229535   0.3898134
2457479.500000000      50.94857  19.12815 1.49713933556931   0.3763407
2457480.500000000      51.94667  19.35891 1.49735274002372   0.3625508
2457481.500000000      52.94753  19.58422 1.49755806543338   0.3483495
2457482.500000000      53.95115  19.80398 1.49775504692528   0.3336438
2457483.500000000      54.95749  20.01813 1.49794336977849   0.3183571
2457484.500000000      55.96653  20.22657 1.49812268490248   0.3024508
2457485.500000000      56.97822  20.42924 1.49829263717939   0.2859458
2457486.500000000      57.99252  20.62605 1.49845290414657   0.2689350
2457487.500000000      59.00936  20.81692 1.49860323659996   0.2515764
2457488.500000000      60.02870  21.00179 1.49874348957346   0.2340673
2457489.500000000      61.05045  21.18057 1.49887363498753   0.2166093
2457490.500000000      62.07456  21.35319 1.49899375476786   0.1993777
2457491.500000000      63.10096  21.51958 1.49910402033920   0.1825057
2457492.500000000      64.12956  21.67968 1.49920466707288   0.1660821
2457493.500000000      65.16029  21.83341 1.49929597054817   0.1501590
2457494.500000000      66.19309  21.98072 1.49937822799968   0.1347610
2457495.500000000      67.22788  22.12155 1.49945174537144   0.1198948
2457496.500000000      68.26457  22.25583 1.49951682881081   0.1055553
2457497.500000000      69.30310  22.38351 1.49957377899456   0.0917291
2457498.500000000      70.34338  22.50453 1.49962288688274   0.0783961
2457499.500000000      71.38533  22.61886 1.49966442994371   0.0655296
2457500.500000000      72.42887  22.72643 1.49969866835644   0.0530963
2457501.500000000      73.47392  22.82721 1.49972584106313   0.0410560
2457502.500000000      74.52039  22.92115 1.49974616176310   0.0293615
2457503.500000000      75.56819  23.00822 1.49975981499406   0.0179591
2457504.500000000      76.61723  23.08837 1.49976695235944   0.0067886
2457505.500000000      77.66743  23.16158 1.49976768879023  -0.0042170
2457506.500000000      78.71870  23.22782 1.49976209856442  -0.0151317
2457507.500000000      79.77094  23.28705 1.49975021075592  -0.0260381
2457508.500000000      80.82405  23.33925 1.49973200396343  -0.0370285
2457509.500000000      81.87794  23.38440 1.49970740069167  -0.0482047
2457510.500000000      82.93252  23.42248 1.49967626269580  -0.0596742
2457511.500000000      83.98768  23.45347 1.49963838987182  -0.0715416
2457512.500000000      85.04331  23.47737 1.49959352643274  -0.0838920
2457513.500000000      86.09930  23.49416 1.49954137817527  -0.0967694
2457514.500000000      87.15555  23.50384 1.49948164239756  -0.1101563
2457515.500000000      88.21192  23.50640 1.49941404716796  -0.1239635
2457516.500000000      89.26830  23.50184 1.49933839115749  -0.1380388
2457517.500000000      90.32456  23.49016 1.49925457300411  -0.1521937
2457518.500000000      91.38056  23.47137 1.49916260265865  -0.1662368
2457519.500000000      92.43619  23.44547 1.49906259446510  -0.1800015
2457520.500000000      93.49133  23.41249 1.49895474801010  -0.1933604
2457521.500000000      94.54583  23.37242 1.49883932477297  -0.2062259
2457522.500000000      95.59960  23.32530 1.49871662677181  -0.2185437
2457523.500000000      96.65252  23.27113 1.49858698017974  -0.2302830
2457524.500000000      97.70447  23.20995 1.49845072423868  -0.2414281
2457525.500000000      98.75535  23.14179 1.49830820435968  -0.2519725
2457526.500000000      99.80505  23.06666 1.49815976784648  -0.2619159
2457527.500000000     100.85348  22.98461 1.49800576078134  -0.2712628
2457528.500000000     101.90054  22.89567 1.49784652494499  -0.2800237
2457529.500000000     102.94613  22.79988 1.49768239403958  -0.2882165
2457530.500000000     103.99016  22.69728 1.49751368887138  -0.2958683
2457531.500000000     105.03256  22.58791 1.49734071148836  -0.3030172
2457532.500000000     106.07324  22.47182 1.49716373851681  -0.3097132
2457533.500000000     107.11212  22.34906 1.49698301406107  -0.3160188
2457534.500000000     108.14914  22.21967 1.49679874251396  -0.3220091
2457535.500000000     109.18422  22.08372 1.49661108151392  -0.3277709
2457536.500000000     110.21730  21.94126 1.49642013518898  -0.3334024
2457537.500000000     111.24831  21.79234 1.49622594789745  -0.3390121
2457538.500000000     112.27721  21.63703 1.49602849905561  -0.3447158
2457539.500000000     113.30392  21.47538 1.49582770039056  -0.3506306
2457540.500000000     114.32840  21.30747 1.49562339791301  -0.3568648
2457541.500000000     115.35059  21.13336 1.49541538156431  -0.3635014
2457542.500000000     116.37044  20.95311 1.49520340500206  -0.3705798
2457543.500000000     117.38789  20.76680 1.49498721558786  -0.3780805
2457544.500000000     118.40289  20.57450 1.49476659058360  -0.3859199
2457545.500000000     119.41538  20.37629 1.49454137178765  -0.3939611
2457546.500000000     120.42530  20.17225 1.49431149008470  -0.4020372
2457547.500000000     121.43260  19.96245 1.49407697477016  -0.4099787
2457548.500000000     122.43725  19.74697 1.49383794813142  -0.4176359
2457549.500000000     123.43918  19.52591 1.49359461022816  -0.4248903
2457550.500000000     124.43837  19.29933 1.49334722012930  -0.4316555
2457551.500000000     125.43479  19.06732 1.49309607849772  -0.4378727
2457552.500000000     126.42840  18.82998 1.49284151404218  -0.4435023
2457553.500000000     127.41919  18.58738 1.49258387431917  -0.4485176
2457554.500000000     128.40713  18.33961 1.49232352014196  -0.4528987
2457555.500000000     129.39223  18.08676 1.49206082233466  -0.4566306
2457556.500000000     130.37448  17.82892 1.49179615947520  -0.4597015
2457557.500000000     131.35387  17.56618 1.49152991538827  -0.4621054
2457558.500000000     132.33041  17.29863 1.49126247537614  -0.4638438
2457559.500000000     133.30410  17.02635 1.49099422049420  -0.4649304
2457560.500000000     134.27497  16.74944 1.49072551959277  -0.4653946
2457561.500000000     135.24303  16.46799 1.49045671933189  -0.4652842
2457562.500000000     136.20831  16.18209 1.49018813284785  -0.4646674
2457563.500000000     137.17083  15.89182 1.48992002808794  -0.4636323
2457564.500000000     138.13063  15.59728 1.48965261694403  -0.4622845
2457565.500000000     139.08774  15.29857 1.48938604621681  -0.4607429
2457566.500000000     140.04221  14.99577 1.48912039126993  -0.4591350
2457567.500000000     140.99407  14.68897 1.48885565317833  -0.4575893
2457568.500000000     141.94337  14.37826 1.48859176034676  -0.4562272
2457569.500000000     142.89015  14.06375 1.48832857585458  -0.4551515
2457570.500000000     143.83445  13.74551 1.48806591178314  -0.4544338
2457571.500000000     144.77632  13.42365 1.48780355098673  -0.4541018
2457572.500000000     145.71579  13.09827 1.48754127492744  -0.4541320
2457573.500000000     146.65291  12.76945 1.48727889378504  -0.4544494
2457574.500000000     147.58771  12.43730 1.48701627333937  -0.4549389
2457575.500000000     148.52022  12.10191 1.48675335340827  -0.4554626
2457576.500000000     149.45050  11.76339 1.48649015511096  -0.4558800
2457577.500000000     150.37857  11.42182 1.48622677766511  -0.4560633
2457578.500000000     151.30449  11.07731 1.48596338805338  -0.4559065
2457579.500000000     152.22831  10.72996 1.48570020773557  -0.4553267
2457580.500000000     153.15006  10.37987 1.48543749986627  -0.4542616
2457581.500000000     154.06981  10.02712 1.48517555905841  -0.4526636
2457582.500000000     154.98760   9.67183 1.48491470436897  -0.4504949
2457583.500000000     155.90351   9.31408 1.48465527521308  -0.4477222
2457584.500000000     156.81759   8.95397 1.48439762934015  -0.4443150
2457585.500000000     157.72990   8.59160 1.48414214169863  -0.4402444
2457586.500000000     158.64051   8.22707 1.48388920285823  -0.4354857
2457587.500000000     159.54949   7.86047 1.48363921561976  -0.4300222
2457588.500000000     160.45692   7.49189 1.48339258858460  -0.4238515
2457589.500000000     161.36286   7.12143 1.48314972588920  -0.4169927
2457590.500000000     162.26741   6.74918 1.48291101310492  -0.4094919
2457591.500000000     163.17063   6.37523 1.48267680037085  -0.4014258
2457592.500000000     164.07262   5.99969 1.48244738486118  -0.3929006
2457593.500000000     164.97347   5.62262 1.48222299526450  -0.3840458
2457594.500000000     165.87326   5.24414 1.48200378077468  -0.3750054
2457595.500000000     166.77208   4.86432 1.48178980623797  -0.3659255
2457596.500000000     167.67003   4.48327 1.48158105399285  -0.3569439
2457597.500000000     168.56718   4.10106 1.48137743206362  -0.3481785
2457598.500000000     169.46363   3.71779 1.48117878793211  -0.3397196
2457599.500000000     170.35946   3.33356 1.48098492694054  -0.3316219
2457600.500000000     171.25475   2.94845 1.48079563411604  -0.3239006
2457601.500000000     172.14959   2.56257 1.48061069764106  -0.3165298
2457602.500000000     173.04404   2.17600 1.48042993148659  -0.3094470
2457603.500000000     173.93818   1.78884 1.48025319436427  -0.3025617
2457604.500000000     174.83208   1.40118 1.48008040259812  -0.2957670
2457605.500000000     175.72582   1.01314 1.47991153580556  -0.2889526
2457606.500000000     176.61947   0.62479 1.47974663592629  -0.2820145
2457607.500000000     177.51310   0.23625 1.47958580146427  -0.2748614
2457608.500000000     178.40678  -0.15240 1.47942917937169  -0.2674169
2457609.500000000     179.30059  -0.54106 1.47927695680510  -0.2596177
2457610.500000000     180.19459  -0.92963 1.47912935432377  -0.2514107
2457611.500000000     181.08887  -1.31800 1.47898662131991  -0.2427486
2457612.500000000     181.98351  -1.70610 1.47884903377419  -0.2335861
2457613.500000000     182.87857  -2.09381 1.47871689386569  -0.2238775
2457614.500000000     183.77414  -2.48104 1.47859053048383  -0.2135761
2457615.500000000     184.67029  -2.86770 1.47847029923899  -0.2026367
2457616.500000000     185.56711  -3.25369 1.47835658017218  -0.1910212
2457617.500000000     186.46467  -3.63892 1.47824977118598  -0.1787075
2457618.500000000     187.36306  -4.02328 1.47815027556373  -0.1657010
2457619.500000000     188.26237  -4.40668 1.47805848311604  -0.1520446
2457620.500000000     189.16269  -4.78904 1.47797474649690  -0.1378243
2457621.500000000     190.06410  -5.17026 1.47789935645420  -0.1231671
2457622.500000000     190.96669  -5.55024 1.47783252109036  -0.1082298
2457623.500000000     191.87056  -5.92889 1.47777435364963  -0.0931810
2457624.500000000     192.77580  -6.30613 1.47772487100239  -0.0781827
2457625.500000000     193.68250  -6.68185 1.47768400207273  -0.0633754
2457626.500000000     194.59074  -7.05597 1.47765160340188  -0.0488682
2457627.500000000     195.50060  -7.42839 1.47762747850447  -0.0347353
2457628.500000000     196.41216  -7.79901 1.47761139830230  -0.0210156
2457629.500000000     197.32549  -8.16774 1.47760312089830  -0.0077151
2457630.500000000     198.24067  -8.53448 1.47760240966466   0.0051897
2457631.500000000     199.15775  -8.89913 1.47760904889646   0.0177470
2457632.500000000     200.07681  -9.26160 1.47762285631872   0.0300232
2457633.500000000     200.99791  -9.62177 1.47764369182818   0.0420967
2457634.500000000     201.92109  -9.97955 1.47767146218376   0.0540503
2457635.500000000     202.84642 -10.33484 1.47770612190329   0.0659656
2457636.500000000     203.77395 -10.68754 1.47774767119099   0.0779187
2457637.500000000     204.70373 -11.03754 1.47779615210609   0.0899784
2457638.500000000     205.63582 -11.38474 1.47785164428108   0.1022063
2457639.500000000     206.57025 -11.72904 1.47791426133197   0.1146588
2457640.500000000     207.50708 -12.07034 1.47798414876142   0.1273904
2457641.500000000     208.44636 -12.40853 1.47806148372654   0.1404568
2457642.500000000     209.38813 -12.74351 1.47814647654995   0.1539175
2457643.500000000     210.33243 -13.07519 1.47823937327033   0.1678365
2457644.500000000     211.27931 -13.40344 1.47834045780860   0.1822803
2457645.500000000     212.22880 -13.72818 1.47845005152098   0.1973105
2457646.500000000     213.18095 -14.04931 1.47856850727388   0.2129720
2457647.500000000     214.13580 -14.36672 1.47869619528081   0.2292773
2457648.500000000     215.09340 -14.68031 1.47883347949464   0.2461900
2457649.500000000     216.05378 -14.98999 1.47898068658607   0.2636168
2457650.500000000     217.01700 -15.29566 1.47913807342095   0.2814112
2457651.500000000     217.98308 -15.59722 1.47930580116831   0.2993924
2457652.500000000     218.95209 -15.89458 1.47948392275084   0.3173711
2457653.500000000     219.92405 -16.18764 1.47967238569176   0.3351751
2457654.500000000     220.89899 -16.47631 1.47987104731052   0.3526661
2457655.500000000     221.87695 -16.76049 1.48007969647261   0.3697458
2457656.500000000     222.85795 -17.04009 1.48029807638630   0.3863535
2457657.500000000     223.84199 -17.31501 1.48052590499576   0.4024613
2457658.500000000     224.82910 -17.58515 1.48076289170835   0.4180666
2457659.500000000     225.81926 -17.85042 1.48100875059614   0.4331873
2457660.500000000     226.81249 -18.11073 1.48126321072331   0.4478568
2457661.500000000     227.80877 -18.36598 1.48152602418226   0.4621207
2457662.500000000     228.80809 -18.61607 1.48179697214548   0.4760337
2457663.500000000     229.81042 -18.86091 1.48207586902778   0.4896557
2457664.500000000     230.81576 -19.10040 1.48236256482427   0.5030494
2457665.500000000     231.82407 -19.33446 1.48265694583675   0.5162776
2457666.500000000     232.83531 -19.56300 1.48295893423215   0.5294015
2457667.500000000     233.84946 -19.78591 1.48326848708550   0.5424808
2457668.500000000     234.86646 -20.00312 1.48358559566283   0.5555746
2457669.500000000     235.88629 -20.21454 1.48391028566011   0.5687434
2457670.500000000     236.90889 -20.42008 1.48424261891950   0.5820522
2457671.500000000     237.93420 -20.61965 1.48458269676896   0.5955732
2457672.500000000     238.96218 -20.81318 1.48493066452214   0.6093865
2457673.500000000     239.99277 -21.00057 1.48528671576718   0.6235784
2457674.500000000     241.02590 -21.18177 1.48565109389956   0.6382333
2457675.500000000     242.06152 -21.35668 1.48602408724911   0.6534193
2457676.500000000     243.09957 -21.52523 1.48640601394418   0.6691677
2457677.500000000     244.13997 -21.68736 1.48679719451134   0.6854526
2457678.500000000     245.18268 -21.84299 1.48719791466016   0.7021788
2457679.500000000     246.22762 -21.99207 1.48760838623193   0.7191883
2457680.500000000     247.27475 -22.13452 1.48802871725855   0.7362850
2457681.500000000     248.32399 -22.27028 1.48845889951268   0.7532680
2457682.500000000     249.37527 -22.39931 1.48889881493422   0.7699619
2457683.500000000     250.42852 -22.52154 1.48934825553516   0.7862322
2457684.500000000     251.48366 -22.63693 1.48980694865639   0.8019889
2457685.500000000     252.54061 -22.74541 1.49027458090669   0.8171797
2457686.500000000     253.59927 -22.84696 1.49075081737827   0.8317807
2457687.500000000     254.65955 -22.94151 1.49123531558117   0.8457882
2457688.500000000     255.72134 -23.02903 1.49172773510465   0.8592124
2457689.500000000     256.78453 -23.10947 1.49222774444967   0.8720736
2457690.500000000     257.84903 -23.18280 1.49273502626201   0.8844002
2457691.500000000     258.91470 -23.24899 1.49324928174147   0.8962278
2457692.500000000     259.98144 -23.30801 1.49377023456144   0.9075986
2457693.500000000     261.04912 -23.35982 1.49429763433461   0.9185601
2457694.500000000     262.11763 -23.40439 1.49483125955002   0.9291645
2457695.500000000     263.18682 -23.44172 1.49537091996933   0.9394678
2457696.500000000     264.25659 -23.47178 1.49591645864725   0.9495293
2457697.500000000     265.32679 -23.49456 1.49646775394504   0.9594121
2457698.500000000     266.39730 -23.51004 1.49702472204703   0.9691845
2457699.500000000     267.46799 -23.51822 1.49758732048284   0.9789216
2457700.500000000     268.53872 -23.51909 1.49815555291633   0.9887083
2457701.500000000     269.60938 -23.51266 1.49872947489262   0.9986394
2457702.500000000     270.67981 -23.49892 1.49930919925014   1.0088177
2457703.500000000     271.74991 -23.47787 1.49989489854283   1.0193451
2457704.500000000     272.81954 -23.44954 1.50048680047254   1.0303073
2457705.500000000     273.88858 -23.41393 1.50108517199783   1.0417506
2457706.500000000     274.95692 -23.37106 1.50169028985969   1.0536592
2457707.500000000     276.02446 -23.32095 1.50230240036199   1.0659429
2457708.500000000     277.09108 -23.26362 1.50292167747359   1.0784445
2457709.500000000     278.15670 -23.19909 1.50354819135577   1.0909675
2457710.500000000     279.22120 -23.12741 1.50418189604167   1.1033124
2457711.500000000     280.28451 -23.04859 1.50482263696655   1.1153065
2457712.500000000     281.34652 -22.96268 1.50547017186305   1.1268200
2457713.500000000     282.40714 -22.86971 1.50612419616695   1.1377663
2457714.500000000     283.46627 -22.76974 1.50678436612564   1.1480946
2457715.500000000     284.52383 -22.66279 1.50745031643381   1.1577793
2457716.500000000     285.57971 -22.54892 1.50812167215730   1.1668114
2457717.500000000     286.63382 -22.42818 1.50879805623617   1.1751919
2457718.500000000     287.68607 -22.30062 1.50947909426494   1.1829285
2457719.500000000     288.73637 -22.16630 1.51016441804568   1.1900350
2457720.500000000     289.78464 -22.02528 1.51085366897432   1.1965310
2457721.500000000     290.83078 -21.87761 1.51154650185162   1.2024434
2457722.500000000     291.87471 -21.72337 1.51224258930257   1.2078072
2457723.500000000     292.91635 -21.56261 1.51294162669439   1.2126663
2457724.500000000     293.95562 -21.39542 1.51364333729846   1.2170734
2457725.500000000     294.99244 -21.22185 1.51434747745945   1.2210902
2457726.500000000     296.02675 -21.04198 1.51505384168104   1.2247872
2457727.500000000     297.05847 -20.85589 1.51576226773400   1.2282438
2457728.500000000     298.08753 -20.66365 1.51647264201275   1.2315490
2457729.500000000     299.11387 -20.46535 1.51718490526933   1.2348022
2457730.500000000     300.13743 -20.26107 1.51789905839994   1.2381120
2457731.500000000     301.15817 -20.05088 1.51861516706508   1.2415929
2457732.500000000     302.17603 -19.83488 1.51933336267805   1.2453560
2457733.500000000     303.19098 -19.61315 1.52005383615112   1.2494931
2457734.500000000     304.20297 -19.38577 1.52077682071785   1.2540552
2457735.500000000     305.21200 -19.15284 1.52150256233643   1.2590325
2457736.500000000     306.21803 -18.91444 1.52223128090406   1.2643444
2457737.500000000     307.22106 -18.67067 1.52296313083049   1.2698477
2457738.500000000     308.22109 -18.42160 1.52369817169578   1.2753624
2457739.500000000     309.21812 -18.16734 1.52443635637224   1.2807044
2457740.500000000     310.21217 -17.90797 1.52517753695247   1.2857124
2457741.500000000     311.20322 -17.64358 1.52592148272461   1.2902621
2457742.500000000     312.19130 -17.37427 1.52666790242516   1.2942675
2457743.500000000     313.17642 -17.10014 1.52741646469148   1.2976743
2457744.500000000     314.15858 -16.82127 1.52816681371373   1.3004506
2457745.500000000     315.13781 -16.53776 1.52891857966692   1.3025786
2457746.500000000     316.11412 -16.24972 1.52967138495203   1.3040484
2457747.500000000     317.08752 -15.95723 1.53042484778767   1.3048551
2457748.500000000     318.05804 -15.66040 1.53117858467071   1.3049977
2457749.500000000     319.02570 -15.35932 1.53193221296751   1.3044804
2457750.500000000     319.99051 -15.05410 1.53268535454931   1.3033151
2457751.500000000     320.95251 -14.74483 1.53343764099200   1.3015241
2457752.500000000     321.91171 -14.43162 1.53418872044279   1.2991429
2457753.500000000     322.86815 -14.11456 1.53493826586019   1.2962221
2457754.500000000     323.82186 -13.79375 1.53568598403558   1.2928282
2457755.500000000     324.77286 -13.46931 1.53643162468155   1.2890431
2457756.500000000     325.72118 -13.14133 1.53717498894224   1.2849628
2457757.500000000     326.66686 -12.80992 1.53791593685976   1.2806949
2457758.500000000     327.60994 -12.47517 1.53865439344827   1.2763562
2457759.500000000     328.55045 -12.13719 1.53939035288686   1.2720686
2457760.500000000     329.48844 -11.79609 1.54012387984297   1.2679529
2457761.500000000     330.42395 -11.45196 1.54085510619201   1.2641191
2457762.500000000     331.35703 -11.10491 1.54158422084196   1.2606520
2457763.500000000     332.28774 -10.75505 1.54231145072418   1.2575958
2457764.500000000     333.21614 -10.40246 1.54303703292766   1.2549399
2457765.500000000     334.14229 -10.04724 1.54376118128313   1.2526146
2457766.500000000     335.06628  -9.68951 1.54448405394742   1.2504993
2457767.500000000     335.98816  -9.32935 1.54520572945257   1.2484428
2457768.500000000     336.90803  -8.96685 1.54592619613510   1.2462881
2457769.500000000     337.82596  -8.60212 1.54664535514099   1.2438931
2457770.500000000     338.74202  -8.23525 1.54736303307801   1.2411430
2457771.500000000     339.65631  -7.86634 1.54807899878134   1.2379523
2457772.500000000     340.56890  -7.49548 1.54879297950126   1.2342615
2457773.500000000     341.47986  -7.12277 1.54950467380903   1.2300296
2457774.500000000     342.38928  -6.74830 1.55021376041709   1.2252277
2457775.500000000     343.29724  -6.37217 1.55091990337509   1.2198333
2457776.500000000     344.20381  -5.99448 1.55162275474399   1.2138269
2457777.500000000     345.10907  -5.61532 1.55232195608658   1.2071918
2457778.500000000     346.01309  -5.23479 1.55301714014164   1.1999146
2457779.500000000     346.91596  -4.85299 1.55370793395509   1.1919896
2457780.500000000     347.81775  -4.47001 1.55439396450822   1.1834233
2457781.500000000     348.71853  -4.08595 1.55507486744848   1.1742401
2457782.500000000     349.61838  -3.70090 1.55575029886331   1.1644870
2457783.500000000     350.51737  -3.31498 1.55641994923020   1.1542362
2457784.500000000     351.41556  -2.92826 1.55708355795435   1.1435846
2457785.500000000     352.31304  -2.54087 1.55774092654521   1.1326495
2457786.500000000     353.20986  -2.15288 1.55839192863937   1.1215620
2457787.500000000     354.10611  -1.76441 1.55903651564418   1.1104588
2457788.500000000     355.00184  -1.37555 1.55967471742193   1.0994734
2457789.500000000     355.89714  -0.98640 1.56030663783170   1.0887270
2457790.500000000     356.79208  -0.59706 1.56093244500676   1.0783194
2457791.500000000     357.68674  -0.20762 1.56155235621523   1.0683195
2457792.500000000     358.58120   0.18182 1.56216661746920   1.0587566
2457793.500000000     359.47553   0.57115 1.56277547902562   1.0496156
2457794.500000000       0.36984   0.96030 1.56337916939744   1.0408371
2457795.500000000       1.26421   1.34916 1.56397787173436   1.0323252
2457796.500000000       2.15873   1.73765 1.56457170651801   1.0239614
2457797.500000000       3.05349   2.12566 1.56516072306556   1.0156205
2457798.500000000       3.94858   2.51312 1.56574489992281   1.0071846
2457799.500000000       4.84410   2.89993 1.56632415201499   0.9985522
2457800.500000000       5.74014   3.28599 1.56689834132252   0.9896417
2457801.500000000       6.63678   3.67122 1.56746728799906   0.9803893
2457802.500000000       7.53412   4.05552 1.56803077978039   0.9707457
2457803.500000000       8.43224   4.43880 1.56858857865281   0.9606702
2457804.500000000       9.33122   4.82097 1.56914042468601   0.9501269
2457805.500000000      10.23114   5.20193 1.56968603759274   0.9390810
2457806.500000000      11.13210   5.58160 1.57022511702596   0.9274978
2457807.500000000      12.03416   5.95987 1.57075734295854   0.9153442
2457808.500000000      12.93741   6.33666 1.57128237775197   0.9025933
2457809.500000000      13.84191   6.71187 1.57179987160227   0.8892315
2457810.500000000      14.74774   7.08540 1.57230947277758   0.8752672
2457811.500000000      15.65497   7.45715 1.57281084318252   0.8607404
2457812.500000000      16.56367   7.82704 1.57330367827777   0.8457279
2457813.500000000      17.47388   8.19495 1.57378772862082   0.8303430
2457814.500000000      18.38568   8.56080 1.57426281905775   0.8147279
2457815.500000000      19.29912   8.92448 1.57472886166063   0.7990398
2457816.500000000      20.21426   9.28589 1.57518586000087   0.7834356
2457817.500000000      21.13114   9.64493 1.57563390455398   0.7680573
2457818.500000000      22.04984  10.00151 1.57607316085336   0.7530214
2457819.500000000      22.97039  10.35552 1.57650385278308   0.7384127
2457820.500000000      23.89287  10.70686 1.57692624321382   0.7242811
2457821.500000000      24.81733  11.05545 1.57734061362948   0.7106413
2457822.500000000      25.74382  11.40117 1.57774724401165   0.6974738
2457823.500000000      26.67242  11.74394 1.57814639423201   0.6847293
2457824.500000000      27.60318  12.08366 1.57853828834769   0.6723343
2457825.500000000      28.53617  12.42023 1.57892310314052   0.6602000
2457826.500000000      29.47143  12.75357 1.57930096175208   0.6482311
2457827.500000000      30.40904  13.08358 1.57967193240303   0.6363340
2457828.500000000      31.34905  13.41016 1.58003603126427   0.6244227
2457829.500000000      32.29150  13.73322 1.58039322791730   0.6124221
2457830.500000000      33.23646  14.05268 1.58074345167453   0.6002677
2457831.500000000      34.18398  14.36842 1.58108659727845   0.5879038
2457832.500000000      35.13408  14.68037 1.58142252898531   0.5752800
2457833.500000000      36.08683  14.98843 1.58175108259487   0.5623475
2457834.500000000      37.04225  15.29251 1.58207206553166   0.5490565
2457835.500000000      38.00038  15.59250 1.58238525562312   0.5353543
2457836.500000000      38.96126  15.88833 1.58269039980090   0.5211870
2457837.500000000      39.92490  16.17990 1.58298721457792   0.5065044
2457838.500000000      40.89134  16.46711 1.58327539067644   0.4912694
2457839.500000000      41.86058  16.74987 1.58355460422836   0.4754709
2457840.500000000      42.83264  17.02809 1.58382453599542   0.4591381
2457841.500000000      43.80752  17.30167 1.58408489772715   0.4423502
2457842.500000000      44.78521  17.57052 1.58433546156281   0.4252361
2457843.500000000      45.76572  17.83455 1.58457608586251   0.4079624
2457844.500000000      46.74902  18.09366 1.58480673087752   0.3907112
2457845.500000000      47.73511  18.34776 1.58502746074155   0.3736563
2457846.500000000      48.72397  18.59675 1.58523843274408   0.3569441
2457847.500000000      49.71557  18.84055 1.58543987820164   0.3406836
2457848.500000000      50.70990  19.07908 1.58563208008507   0.3249449
2457849.500000000      51.70693  19.31223 1.58581535134126   0.3097626
2457850.500000000      52.70666  19.53993 1.58599001593542   0.2951412
2457851.500000000      53.70904  19.76209 1.58615639313419   0.2810607
2457852.500000000      54.71407  19.97862 1.58631478482761   0.2674818
2457853.500000000      55.72170  20.18946 1.58646546558427   0.2543500
2457854.500000000      56.73193  20.39452 1.58660867529960   0.2416003
2457855.500000000      57.74470  20.59373 1.58674461442385   0.2291620
2457856.500000000      58.76000  20.78701 1.58687344170037   0.2169620
2457857.500000000      59.77778  20.97428 1.58699527411485   0.2049292
2457858.500000000      60.79801  21.15548 1.58711018846500   0.1929959
2457859.500000000      61.82063  21.33054 1.58721822373564   0.1810988
2457860.500000000      62.84561  21.49939 1.58731938339062   0.1691779
2457861.500000000      63.87289  21.66197 1.58741363678578   0.1571747
2457862.500000000      64.90241  21.81820 1.58750091914931   0.1450291
2457863.500000000      65.93412  21.96803 1.58758112995282   0.1326769
2457864.500000000      66.96795  22.11141 1.58765413003024   0.1200484
2457865.500000000      68.00384  22.24826 1.58771973853704   0.1070696
2457866.500000000      69.04170  22.37854 1.58777773178054   0.0936675
2457867.500000000      70.08148  22.50219 1.58782784690117   0.0797818
2457868.500000000      71.12307  22.61917 1.58786979379487   0.0653817
2457869.500000000      72.16638  22.72941 1.58790327763299   0.0504846
2457870.500000000      73.21133  22.83288 1.58792803115328   0.0351698
2457871.500000000      74.25781  22.92953 1.58794385115360   0.0195785
2457872.500000000      75.30571  23.01932 1.58795062986750   0.0038957
2457873.500000000      76.35491  23.10220 1.58794837223698  -0.0116789
2457874.500000000      77.40530  23.17814 1.58793719515070  -0.0269618
2457875.500000000      78.45677  23.24711 1.58791731141808  -0.0418067
2457876.500000000      79.50921  23.30907 1.58788900548436  -0.0561122
2457877.500000000      80.56249  23.36399 1.58785260803856  -0.0698184
2457878.500000000      81.61651  23.41186 1.58780847410656  -0.0828992
2457879.500000000      82.67116  23.45265 1.58775696624333  -0.0953535
